H,BEL,20090523,5,D,03May09  5BEL 3,TB,Canardly,118,3,C,L,J   Samyn,29,2,6,0,0,9,6,8,6,9,8,10,14.6,10,13.2,10,11.1,10,0,75,Kelly Patrick J,"Fox Ridge Farm, Inc.","CANARDLY 4wide, outrun",,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H,BEL,20090523,5,D,16May09  2BEL 7,TB,Royal Lord,123,4,G,Lb,C H Velasquez,50.5,3,1,0,0,10,7.5,10,9.5,10,10,9,10.6,8,10.1,9,7.8,9,0,79,Quick Patrick J,Dream Team One Racing Stable,ROYAL LORD no factor,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H,BEL,20090523,5,D,04Apr09  3KEE 2,TB,Seeking the Sluice,118,3,C,L,A   Garcia,2.65,4,2,0,0,7,5,7,5.5,7,6,7,8.1,2,5,2,0.1,2,0,89,Tagg Barclay,Fipke,"SEEKING THE SLUICE rail trip, closed late inside, nipped late",,0,4.1,3.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H,BEL,20090523,5,D,18Apr09 10AQU 4,TB,Actor's Groove,118,3,G,Lb,J   Lezcano,12.3,5,3,0,0,6,4,4,2,2,0.5,2,4,4,5.6,4,1.8,4,0,87,Terranova II John P,IEAH Stables,"ACTOR'S GROOVE steadied sharply altered course first turn, pressed leader",,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H,BEL,20090523,5,D,29Apr09  4BEL 2,TB,Iron Dancer,118,3,G,L,J   Castellano,11,6,4,0,0,8,5.5,9,7,8,7,4,5.6,3,5.5,5,2.1,5,0,87,Jerkens James A,"Moore, Susan and M and M Thoroughbred Partners","IRON DANCER steadied shuffled back early, 5wide",,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H,BEL,20090523,5,D,28Mar09 12GP  3,TB,Street Talk'n Man,118,3,C,L,E   Coa,3.65,7,7,0,0,3,2,5,3,5,3.5,6,7.1,9,10.2,8,6.1,8,0,81,Albertrani Thomas,"Grossberg, Gabe, Wentzien, K.","STREET TALK'N MAN steadied first turn, traffic stretch, tired",,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H,BEL,20090523,5,D,02May09 13CD  5,TB,Cullinan,118,3,C,Lb,E S Prado,7.6,8,8,0,0,2,1,2,0.5,3,1,3,4.1,6,8.1,6,4.6,6,0,83,Mott William I,"Mill Ridge Farm, Otto, Audrey","CULLINAN pressed between horses, faded stretch",,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H,BEL,20090523,5,D,16May09  2BEL 4,TB,Propensity,123,4,G,Lb,S   Morales,6.9,9,10,0,0,4,3,3,1.5,4,2,5,6.1,7,9.1,7,5.1,7,0,83,Bond H James,"Clifton, Jr.","PROPENSITY rushed 3wide, gave way",,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H,BEL,20090523,5,D,(13MAY09  6BEL 5),TB,Pynaformer,0,0,,,,0,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R,TB,BEL,20090523,6,D,Allowance Optional Claiming,47000,"(UP TO $8,930 NYSBFOA) FOR THREE YEAR OLDS AND UPWARD  WHICH HAVE NEVER WON TWO RACES OTHER THAN MAIDEN, CLAIMING, STARTER, ","OR RESTRICTED OR WHICH HAVE NEVER WON THREE RACES OR OPTIONAL CLAIMING PRICE OF $50,000. Three Year Olds, 119 lbs.; Older, ","123 lbs. Non-winners Of $22,000 On The Turf Since March 22 2009 Allowed 2 lbs. Non-winners Of A Race On The Turf Since Then ","Allowed 3 lbs. (Races where entered for $35,000 or less not considered in allowances) (Preference by condition eligibility). (",3U  NW2X,700,F, ,T,109,FM,Clear,Good,3:41,12,23.38,46.48,69.71,0,0,81.68,92,86,100,79.91,28200,9400,4700,2350,1410,314,314,312,0,0,2 Pick 3, 5-1-7,223,73139,2 Daily Double, 1-7,94.5,58934,2 Exacta, 7-5,95.5,405840,2 Trifecta, 7-5-6,423,289574,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0
H,BEL,20090523,6,D,21Mar09  3AQU 3,TB,Leo (GB),120,6,G,L,R A Dominguez,1.75,1,2,50000,4,4,3,4,2,0,0,0,0,4,2,6,1.8,6,0,97,Dutrow Anthony W,"Dubb, Michael, Bethlehem Stables LLC and Joscelyn, Robert","LEO (GB) saved ground in hand, waited turn, bid stretch, tired",,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
